_id,student_id,email,first_name,last_name,gender,country,race,age,college,campus,department,enrollment_year,state,courses[0],courses[1],courses[2],courses[3],courses[4],courses[5],courses[6],courses[7],housing,advisor,gpa,graded_course[0],graded_course[1],graded_course[2],graded_course[3],graded_course[4],graded_course[5],graded_course[6],graded_course[7],graded_course[8],graded_course[9],graded_course[10],graded_electives[0],graded_electives[1],graded_electives[2],electives[0],award,scholarship
6654a527bcd46b0063b0073c,CBA-Bio-Ste11735Du,Ste11735Du@golheights.com,Stephanie,Duran,Queer,United States,Black-African,30,CBAS,Golden Grove Campus,Biochemistry,2021,Nebraska,CBASNuc704,CBASGen628,CBASMol598,CBASBio11,,,,,GolStaito613,goladviRomSus187,2.5,CBASInt585,CBASPro611,CBASBio608,CBASMet784,CBASLip854,CBASCar248,,,,,,CBASBio704,CBASEnz560,,,,
6654a527bcd46b0063b0073d,CBA-For-Jam12439Da,Jam12439Da@golheights.com,James,Davis,Male,East Timor,White,31,CBAS,Lakeside Vista Campus,Forestry,2022,,CBASInt540,CBASFor921,CBASFor691,CBASFor935,CBASSil126,CBASWil643,,,LakSmeio 2123,goladviJohLyd992,2.58,CBASFor724,CBASFor143,CBASFor569,CBASRem706,,,,,,,,CBASFor40,CBASWoo493,,,,
6654a527bcd46b0063b0073e,CBA-Env-Mic1568Ki,-Mic1568Ki@golheights.com,Michael,King,Male,Suriname,Indigenous,26,CBAS,Summit Valley Campus,Environmental Science,2021,,CBASCli943,CBASEnv723,CBASWas888,CBASAir544,,,,,SumRosio 2482,goladviLopCou266,3.08,CBASInt101,CBASEco770,CBASEnv24,CBASEnv708,CBASSus100,CBASCon538,,,,,,CBASWat418,CBASSoi99,,,,
6654a527bcd46b0063b0073f,CHS-Law-Jef275Ro,w-Jef275Ro@golheights.com,Jeffrey,Roberts,Queer,United States,Other,33,CHSP,Evergreen Heights Campus,Law,2023,Wyoming,CHSPInt595,CHSPCon797,CHSPCri492,CHSPCon842,CHSPTor818,CHSPPro349,CHSPCiv247,CHSPCri542,EveWinio 1424,goladviAndBil506,3.23,CHSPLeg603,CHSPEvi102,,,,,,,,,,CHSPLab297,,,CHSPImm370,,
6654a527bcd46b0063b00740,CHS-Edu-She6863Al,-She6863Al@golheights.com,Shelly,Alexander,Queer,East Timor,Other,33,CHSP,Evergreen Heights Campus,Education,2020,,,,,,,,,,EveMooito1013,goladviMacJen581,2.87,CHSPInt917,CHSPEdu701,CHSPCur241,CHSPTea69,CHSPAss76,CHSPCla256,CHSPSpe797,CHSPEdu265,CHSPLan891,CHSPCul127,,CHSPSoc182,CHSPChi425,,,,
6654a527bcd46b0063b00741,CBA-Agr-Kyl20255Hu,Kyl20255Hu@golheights.com,Kyle,Hunt,Male,Mauritius,Other,16,CBAS,Golden Grove Campus,Agriculture,2020,,,,,,,,,,GolIroio 1391,goladviDunJos465,2.83,CBASInt696,CBASCro120,CBASAgr208,CBASPla304,CBASEnt80,CBASAni352,CBASAgr738,CBASAgr588,CBASPre709,CBASFoo100,,CBASGen79,CBASHor779,,,,
6654a528bcd46b0063b00742,CHS-Eng-Kar6264Mi,-Kar6264Mi@golheights.com,Karen,Miller,Queer,United States,Indigenous,29,CHSS,Evergreen Heights Campus,English,2021,Arkansas,CHSSEnl328,CHSSRom114,CHSSVic965,CHSSMod197,,,,,EvePitito920,goladviMarKim941,2.7,CHSSInt738,CHSSBri727,CHSSAme332,CHSSWor994,CHSSMed642,CHSSRen368,,,,,,CHSSCri108,CHSSFic643,,,,
6654a528bcd46b0063b00743,CBA-Geo-Ran11412Po,Ran11412Po@golheights.com,Randy,Powell,Queer,United States,Indigenous,28,CBAS,Summit Valley Campus,Geology,2023,Alaska,CBASPhy34,CBASHis660,CBASMin334,CBASPet134,CBASSed264,CBASStr880,CBASStr990,CBASGeo244,SumCumito859,goladviCarCha745,2.53,CBASPal355,CBASGeo371,,,,,,,,,,CBASTec304,,,CBASRem793,,
6654a528bcd46b0063b00744,CHS-Edu-Kyl17373Th,Kyl17373Th@golheights.com,Kyle,Thomas,Queer,Luxembourg,Asian,21,CHSP,Golden Grove Campus,Education,2022,,CHSPInt917,CHSPEdu701,CHSPCur241,CHSPTea69,CHSPAss76,CHSPCla256,,,GolJayito774,goladviLeeSam228,1.85,CHSPSpe797,CHSPEdu265,CHSPLan891,CHSPCul127,,,,,,,,CHSPChi425,CHSPEdu750,,,,
6654a528bcd46b0063b00745,CBA-Onc-Tra1568Go,-Tra1568Go@golheights.com,Tracy,Gonzalez,Female,United States,Black-African,30,CBAS,Summit Valley Campus,Oncology,2021,Kansas,CBASMed659,CBASRad876,CBASPed44,CBASGyn295,,,,,SumTheito630,goladviHawNat913,2.79,CBASInt811,CBASCan621,CBASCan499,CBASMol167,CBASCli665,CBASSur532,,,,,,CBASCan883,CBASCan758,,,,
6654a528bcd46b0063b00746,CBA-Mic-Kat66To,ic-Kat66To@golheights.com,Katherine,Todd,Female,United States,White,35,CBAS,Golden Grove Campus,Microbiology,2022,West Virginia,CBASInt947,CBASBac856,CBASVir444,CBASFun858,CBASPar201,CBASMic860,,,GolOreito1256,goladviKinKev767,2.68,CBASMic525,CBASMic312,CBASMed194,CBASEnv335,,,,,,,,CBASFoo40,CBASDia516,,,,
6654a528bcd46b0063b00747,CHS-Ant-Hea2493Mo,-Hea2493Mo@golheights.com,Heather,Moran,Queer,United States,Asian,35,CHSS,Lakeside Vista Campus,Anthropology,2023,Arizona,CHSSInt510,CHSSCul690,CHSSBio450,CHSSArc664,CHSSLin460,CHSSApp398,CHSSMed192,CHSSVis981,LakBluito1382,goladviMonVic45,3.69,CHSSEnv258,CHSSAnt876,,,,,,,,,,CHSSUrb565,,,CHSSGlo696,,
6654a528bcd46b0063b00748,CHS-Psy-Bra6258Pa,-Bra6258Pa@golheights.com,Brandon,Patterson,Queer,United States,Indigenous,29,CHSS,Golden Grove Campus,Psychology,2020,Michigan,,,,,,,,,GolTheito602,goladviWooMel434,2.44,CHSSInt576,CHSSDev287,CHSSAbn324,CHSSSoc212,CHSSCog278,CHSSBio465,CHSSPer948,CHSSCli688,CHSSInd768,CHSSHea268,,CHSSPsy485,CHSSNeu498,,,,
6654a529bcd46b0063b00749,CHS-Law-She4251Bu,-She4251Bu@golheights.com,Shelby,Buck,Female,United States,Asian,20,CHSP,Summit Valley Campus,Law,2020,Arkansas,,,,,,,,,SumCumito859,goladviCarPam390,2.82,CHSPInt595,CHSPCon797,CHSPCri492,CHSPCon842,CHSPTor818,CHSPPro349,CHSPCiv247,CHSPCri542,CHSPLeg603,CHSPEvi102,,CHSPLab297,CHSPImm370,,,,
6654a529bcd46b0063b0074a,CBA-Arc-Jar21901Sa,Jar21901Sa@golheights.com,Jared,Saunders,Male,United States,Other,23,CBAS,Lakeside Vista Campus,Architecture,2021,South Dakota,CBASEnv612,CBASDig872,CBASSus876,CBASInt546,,,,,LakDraio 1442,goladviNguJes695,2.45,CBASInt620,CBASArc63,CBASArc112,CBASBui871,CBASArc834,CBASStr615,,,,,,CBASBui801,CBASLan49,,,,
6654a529bcd46b0063b0074b,CBA-Eme-Jul9174Ki,-Jul9174Ki@golheights.com,Julia,Kirby,Female,Spain,Black-African,26,CBAS,Evergreen Heights Campus,Emergency Medicine,2020,,,,,,,,,,EveRivito626,goladviHerCha514,3.63,CBASInt664,CBASEme661,CBASRes653,CBASTra622,CBASSho16,CBASCar347,CBASRes417,CBASNeu521,CBASTox359,CBASEnv286,,CBASPed369,CBASOrt795,,,,
6654a529bcd46b0063b0074c,CBA-Com-Kay10367Fl,Kay10367Fl@golheights.com,Kaylee,Flores,Female,Laos,Other,33,CBAS,Golden Grove Campus,Computer Science,2020,,,,,,,,,,GolHario 1497,goladviGooMac567,1.98,CBASInt992,CBASDat377,CBASCom706,CBASOpe763,CBASDat162,CBASPro421,CBASSof599,CBASArt423,CBASMac741,CBASCom743,,CBASClo740,CBASMob591,,,,
6654a529bcd46b0063b0074d,CHS-Eng-Joy22332Jo,Joy22332Jo@golheights.com,Joy,Johnson,Female,United States,Asian,26,CHSS,Summit Valley Campus,English,2021,California,CHSSEnl328,CHSSRom114,CHSSVic965,CHSSMod197,,,,,SumColito1171,goladviPetBar236,2.31,CHSSInt738,CHSSBri727,CHSSAme332,CHSSWor994,CHSSMed642,CHSSRen368,,,,,,CHSSFic643,CHSSCon190,,,,
6654a529bcd46b0063b0074e,CBA-Mic-Bar1073Ro,-Bar1073Ro@golheights.com,Barbara,Roth,Female,Mongolia,Indigenous,19,CBAS,Summit Valley Campus,Microbiology,2020,,,,,,,,,,SumAffito741,goladviBlaAma392,2.5,CBASInt947,CBASBac856,CBASVir444,CBASFun858,CBASPar201,CBASMic860,CBASMic525,CBASMic312,CBASMed194,CBASEnv335,,CBASFoo40,CBASDia516,,,,
6654a52abcd46b0063b0074f,CBA-Met-Vic14772Pr,Vic14772Pr@golheights.com,Victor,Price,Male,United States,White,20,CBAS,Summit Valley Campus,Meteorology,2021,Kentucky,CBASAtm473,CBASRem75,CBASMes795,CBASSat931,,,,,SumPhoio 2456,goladviWonJes16,3.2,CBASInt4,CBASAtm855,CBASSyn37,CBASCli375,CBASTro113,CBASWea849,,,,,,CBASHyd606,CBASAir284,,,,
6654a52abcd46b0063b00750,CBA-Onc-Joy22732Ha,Joy22732Ha@golheights.com,Joyce,Harris,Queer,United States,Asian,24,CBAS,Summit Valley Campus,Oncology,2023,Arizona,CBASInt811,CBASCan621,CBASCan499,CBASMol167,CBASCli665,CBASSur532,CBASMed659,CBASRad876,SumAffito741,goladviWalGin342,3.03,CBASPed44,CBASGyn295,,,,,,,,,,CBASExp282,,,CBASCan758,,
6654a52abcd46b0063b00751,CBA-Met-Sus9314An,-Sus9314An@golheights.com,Susan,Andrews,Queer,Japan,White,21,CBAS,Summit Valley Campus,Meteorology,2020,,,,,,,,,,SumPerito802,goladviDalCur538,2.05,CBASInt4,CBASAtm855,CBASSyn37,CBASCli375,CBASTro113,CBASWea849,CBASAtm473,CBASRem75,CBASMes795,CBASSat931,,CBASBou117,CBASCli554,,,,
6654a52abcd46b0063b00752,CHS-Soc-Ang7374Kr,-Ang7374Kr@golheights.com,Angela,Krueger,Queer,United States,Other,27,CHSS,Lakeside Vista Campus,Sociology,2022,Maine,CHSSInt607,CHSSSoc558,CHSSRes404,CHSSCul337,CHSSGen514,CHSSRac962,,,LakGreio 1449,goladviWalCor935,2.83,CHSSSoc213,CHSSFam19,CHSSUrb600,CHSSGlo71,,,,,,,,CHSSSoc252,CHSSSoc125,,,,
6654a52abcd46b0063b00753,CBA-Phy-Mir13877Jo,Mir13877Jo@golheights.com,Miranda,Johnson,Female,United States,Indigenous,25,CBAS,Lakeside Vista Campus,Physics,2022,Kentucky,CBASCla313,CBASEle430,CBASQua465,CBASSpe977,CBASAst414,CBASPar650,,,LakWisito1103,goladviPetNan148,2.75,CBASCon95,CBASOpt938,CBASNuc220,CBASAco841,,,,,,,,CBASSta445,CBASSol776,,,,
6654a52abcd46b0063b00754,CBA-Spa-Mic22365Ga,Mic22365Ga@golheights.com,Michael,Gates,Queer,Oman,Other,27,CBAS,Evergreen Heights Campus,Space Sciences,2023,,CBASInt328,CBASAst457,CBASAst885,CBASPla401,CBASSpa59,CBASSpa701,CBASCos240,CBASAst727,EveMooito1013,goladviCobAmy731,2.29,CBASSpa105,CBASRem360,,,,,,,,,,CBASInt260,,,CBASExo729,,
6654a52abcd46b0063b00755,CHS-Ant-Rac20530Jo,Rac20530Jo@golheights.com,Rachel,Johnson,Female,United States,Other,18,CHSS,Lakeside Vista Campus,Anthropology,2020,Alabama,,,,,,,,,LakRadito985,goladviGonDan943,2.51,CHSSInt510,CHSSCul690,CHSSBio450,CHSSArc664,CHSSLin460,CHSSApp398,CHSSMed192,CHSSVis981,CHSSEnv258,CHSSAnt876,,CHSSEth882,CHSSEco722,,,,
6654a52bbcd46b0063b00756,CHS-Fil-San8341Mu,-San8341Mu@golheights.com,Sandra,Mullins,Female,United Kingdom,White,21,CHSS,Golden Grove Campus,Film Studies,2022,,CHSSInt322,CHSSFil617,CHSSFil193,CHSSCin431,CHSSFil932,CHSSScr834,,,GolAstito728,goladviGarCur664,2.9,CHSSDoc975,CHSSExp662,CHSSGen649,CHSSWor99,,,,,,,,CHSSFil373,CHSSFil212,,,,
6654a52bbcd46b0063b00757,CHS-Ant-Bra17980Ca,Bra17980Ca@golheights.com,Brandon,Carlson,Male,United States,Asian,26,CHSS,Lakeside Vista Campus,Anthropology,2021,Montana,CHSSMed192,CHSSVis981,CHSSEnv258,CHSSAnt876,,,,,LakGreio 1449,goladviWooMel960,2.43,CHSSInt510,CHSSCul690,CHSSBio450,CHSSArc664,CHSSLin460,CHSSApp398,,,,,,CHSSGlo696,CHSSAnt817,,,,
6654a52bbcd46b0063b00758,CHS-Pha-Aar6364Ha,-Aar6364Ha@golheights.com,Aaron,Hall,Queer,United States,Asian,30,CHSP,Summit Valley Campus,Pharmacy,2023,North Dakota,CHSPInt891,CHSPPha198,CHSPPha778,CHSPPha991,CHSPPha618,CHSPPha228,CHSPPha506,CHSPPha456,SumFoxito1485,goladviCarPam390,2.98,CHSPPha264,CHSPCli846,,,,,,,,,,CHSPPha285,,,CHSPPha97,,
6654a52bbcd46b0063b00759,CBA-Rad-Tra3364Ba,-Tra3364Ba@golheights.com,Traci,Barnett,Female,United States,Indigenous,21,CBAS,Evergreen Heights Campus,Radiology,2021,North Carolina,CBASMag635,CBASUlt200,CBASNuc30,CBASInt965,,,,,EveMapito1478,goladviPalWal576,2.59,CBASInt184,CBASRad404,CBASRad943,CBASMed470,CBASX-r328,CBASCom158,,,,,,CBASCar820,CBASMus308,,,,
6654a52bbcd46b0063b0075a,CHS-Fil-Joh14570St,Joh14570St@golheights.com,John,Stewart,Male,United States,Asian,26,CHSS,Evergreen Heights Campus,Film Studies,2022,Wisconsin,CHSSInt322,CHSSFil617,CHSSFil193,CHSSCin431,CHSSFil932,CHSSScr834,,,EvePitito920,goladviJonTim804,1.51,CHSSDoc975,CHSSExp662,CHSSGen649,CHSSWor99,,,,,,,,CHSSLat845,CHSSFil373,,,,
6654a52bbcd46b0063b0075b,CBA-Der-Sab2616Mo,-Sab2616Mo@golheights.com,Sabrina,Moreno,Female,United States,White,29,CBAS,Golden Grove Campus,Dermatology,2023,Nevada,CBASInt700,CBASSki433,CBASDer901,CBASDer260,CBASCos963,CBASMed896,CBASPed919,CBASDer821,GolJolito501,goladviStaFel365,3.1,CBASDer774,CBASDer394,,,,,,,,,,CBASEth776,,,CBASTel162,,
6654a52cbcd46b0063b0075c,CBA-Arc-Mat23247Hu,Mat23247Hu@golheights.com,Matthew,Hull,Male,United States,White,25,CBAS,Lakeside Vista Campus,Architecture,2022,Texas,CBASInt620,CBASArc63,CBASArc112,CBASBui871,CBASArc834,CBASStr615,,,LakPopito1276,goladviFigMad824,3.23,CBASEnv612,CBASDig872,CBASSus876,CBASInt546,,,,,,,,CBASBui801,CBASArc477,,,,
6654a52cbcd46b0063b0075d,CHS-Pub-Vic24152Ro,Vic24152Ro@golheights.com,Vicki,Robinson,Female,Myanmar,White,19,CHSP,Golden Grove Campus,Public Health,2020,,,,,,,,,,GolPhoio 2101,goladviGooMac567,2.19,CHSPInt193,CHSPEpi567,CHSPBio390,CHSPHea480,CHSPEnv379,CHSPGlo865,CHSPHea393,CHSPMat442,CHSPInf628,CHSPChr134,,CHSPEme987,CHSPHea348,,,,
6654a52cbcd46b0063b0075e,CBA-Bio-Mic2009Va,-Mic2009Va@golheights.com,Michael,Valenzuela,Male,United States,Asian,24,CBAS,Lakeside Vista Campus,Biology,2020,Wyoming,,,,,,,,,LakTheito597,goladviPerJac728,2.56,CBASInt561,CBASCel85,CBASGen872,CBASEvo889,CBASMol370,CBASPhy167,CBASMic443,CBASImm588,CBASNeu421,CBASDev497,,CBASPla998,CBASHum381,,,,
6654a52cbcd46b0063b0075f,CHS-Psy-Nic15173Gr,Nic15173Gr@golheights.com,Nicole,Green,Female,United States,Other,24,CHSS,Summit Valley Campus,Psychology,2021,Delaware,CHSSPer948,CHSSCli688,CHSSInd768,CHSSHea268,,,,,SumTheito630,goladviPetBar236,3.14,CHSSInt576,CHSSDev287,CHSSAbn324,CHSSSoc212,CHSSCog278,CHSSBio465,,,,,,CHSSCou36,CHSSPos956,,,,
6654a52cbcd46b0063b00760,CHS-Law-Meg2466He,-Meg2466He@golheights.com,Megan,Hernandez,Female,United States,Asian,18,CHSP,Summit Valley Campus,Law,2021,Idaho,CHSPCiv247,CHSPCri542,CHSPLeg603,CHSPEvi102,,,,,SumTheito630,goladviEvaSte630,2.93,CHSPInt595,CHSPCon797,CHSPCri492,CHSPCon842,CHSPTor818,CHSPPro349,,,,,,CHSPInt447,CHSPBus108,,,,
6654a52cbcd46b0063b00761,CBA-Mat-Mic21459Fu,Mic21459Fu@golheights.com,Michael,Fuentes,Male,United States,Indigenous,34,CBAS,Summit Valley Campus,Mathematics,2022,West Virginia,CBASCal111,CBASLin262,CBASDif468,CBASRea998,CBASCom73,CBASNum230,,,SumKario 1526,goladviWonJes16,2.93,CBASDis65,CBASPro746,CBASSta81,CBASGra521,,,,,,,,CBASAbs270,CBASFun531,,,,
6654a52dbcd46b0063b00762,CHS-The-San12404Gr,San12404Gr@golheights.com,Sandra,Griffin,Queer,Antigua and Barbuda,Indigenous,34,CHSS,Summit Valley Campus,Theater and Dance,2021,,CHSSSha439,CHSSMus826,CHSSDan976,CHSSCho762,,,,,SumPerito802,goladviGreMic445,2.92,CHSSInt834,CHSSAct815,CHSSDir587,CHSSPla28,CHSSThe332,CHSSMod160,,,,,,CHSSThe706,CHSSCos883,,,,
6654a52dbcd46b0063b00763,CBA-Bio-Emi5455Mc,-Emi5455Mc@golheights.com,Emily,Mcclure,Female,Equatorial Guinea,White,16,CBAS,Lakeside Vista Campus,Biology,2021,,CBASMic443,CBASImm588,CBASNeu421,CBASDev497,,,,,LakTheito597,goladviPetNan148,2.74,CBASInt561,CBASCel85,CBASGen872,CBASEvo889,CBASMol370,CBASPhy167,,,,,,CBASBio858,CBASEnv501,,,,
6654a52dbcd46b0063b00764,CHS-Law-Rob2582To,-Rob2582To@golheights.com,Robert,Torres,Queer,Liberia,Asian,29,CHSP,Evergreen Heights Campus,Law,2023,,CHSPInt595,CHSPCon797,CHSPCri492,CHSPCon842,CHSPTor818,CHSPPro349,CHSPCiv247,CHSPCri542,EveCenio 2134,goladviHerSte858,2.28,CHSPLeg603,CHSPEvi102,,,,,,,,,,CHSPImm370,,,CHSPInt811,,
6654a52dbcd46b0063b00765,CBE-Acc-Jac19505Sh,Jac19505Sh@golheights.com,Jacob,Shepherd,Male,Maldives,Asian,31,CBE,Summit Valley Campus,Accounting,2022,,CBEInt391,CBEFin992,CBEMan794,CBECos1,CBEAud523,CBETax165,,,SumGunio 2449,goladviCarLis929,2.82,CBEAdv377,CBEFor49,CBEGov780,CBEInt298,,,,,,,,CBEInt789,CBECor816,,,,
6654a52dbcd46b0063b00766,CBA-Ani-Bra16560Co,Bra16560Co@golheights.com,Bradley,Cochran,Male,Saint Vincent and the Grenadines,Asian,26,CBAS,Lakeside Vista Campus,Animal Science,2022,,CBASInt27,CBASAni995,CBASAni778,CBASAni614,CBASLiv820,CBASPou172,,,LakCofio 2391,goladviNguJes695,2.81,CBASMea697,CBASAni387,CBASRep515,CBASVet72,,,,,,,,CBASAni123,CBASRan142,,,,
6654a52dbcd46b0063b00767,CHS-Eng-Tar4341Fi,-Tar4341Fi@golheights.com,Tara,Fitzgerald,Queer,United States,White,32,CHSS,Lakeside Vista Campus,English,2022,Idaho,CHSSInt738,CHSSBri727,CHSSAme332,CHSSWor994,CHSSMed642,CHSSRen368,,,LakRobito859,goladviDavKim621,2.92,CHSSEnl328,CHSSRom114,CHSSVic965,CHSSMod197,,,,,,,,CHSSCon190,CHSSDra177,,,,
6654a52dbcd46b0063b00768,CBA-Ele-Nat17989Mc,Nat17989Mc@golheights.com,Nathan,Mccoy,Male,United States,Indigenous,25,CBAS,Golden Grove Campus,Electrical Engineering,2021,Vermont,CBASCon222,CBASCom355,CBASEmb970,CBASRen780,,,,,GolCenio 2382,goladviDunJos465,2.42,CBASCir728,CBASEle690,CBASDig328,CBASSig340,CBASEle473,CBASPow55,,,,,,CBASPho457,CBASPow841,,,,
6654a52ebcd46b0063b00769,CBA-Imm-Jas10920Sa,Jas10920Sa@golheights.com,Jasmine,Santiago,Female,Panama,Other,29,CBAS,Summit Valley Campus,Immunology,2022,,CBASInt660,CBASInn255,CBASAda449,CBASAnt310,CBASAnt171,CBAST C799,,,SumKario 1526,goladviSmiJoh460,2.63,CBASB C472,CBASImm659,CBASAut602,CBASTra321,,,,,,,,CBASCan101,CBASImm21,,,,
